Month,Week,Day,Hr,Min,NAV($),Drawdown(%),P/L(%)
1,0,4,15,45,-42.48,0.00,0.00
1,0,4,16,0,-36.59,0.00,0.00
1,0,4,16,15,-42.05,0.00,0.00
1,0,4,16,30,-39.97,0.00,0.00
1,0,4,16,45,-43.41,0.00,0.00
1,0,4,17,0,-41.92,0.00,0.00
1,0,4,17,15,-47.15,0.00,0.00
1,0,4,17,30,-57.05,0.00,0.00
1,0,4,17,45,-59.06,0.00,0.00
1,0,4,18,0,-60.02,0.00,0.00
1,0,4,18,15,-68.41,0.00,0.00
1,0,4,18,30,-59.86,0.00,0.00
1,0,4,18,45,-68.37,0.00,0.00
1,0,4,19,0,-60.92,0.00,0.00
1,0,4,19,15,-63.01,0.00,0.00
1,0,4,19,30,-63.05,0.00,0.00
1,0,4,19,45,-59.86,0.00,0.00
1,0,4,20,0,-63.71,0.00,0.00
1,0,4,20,15,-60.38,0.00,0.00
1,0,4,20,30,-56.04,0.00,0.00
1,0,4,20,45,-56.04,0.00,0.00
1,0,4,21,0,-58.11,0.00,0.00
1,0,4,21,15,-50.71,0.00,0.00
1,0,4,21,30,-57.23,0.00,0.00
1,0,4,21,45,-58.62,0.00,0.00
1,0,4,22,0,-55.83,0.00,0.00
1,0,4,22,15,-52.02,0.00,0.00
1,0,4,22,30,-53.47,0.00,0.00
1,0,4,22,45,-56.48,0.00,0.00
1,0,4,23,0,-56.62,0.00,0.00
1,0,4,23,15,-59.81,0.00,0.00
1,0,4,23,30,-63.84,0.00,0.00
1,0,4,23,45,-65.08,0.00,0.00
1,0,5,24,0,-66.92,0.00,0.00
1,0,5,24,15,-67.50,0.00,0.00
1,0,5,24,30,-64.42,0.00,0.00
1,0,5,24,45,-62.39,0.00,0.00
1,0,5,1,0,-61.92,0.00,0.00
1,0,5,1,15,-62.04,0.00,0.00
1,0,5,1,30,-66.47,0.00,0.00
1,0,5,1,45,-76.21,0.00,0.00
1,0,5,2,0,-66.39,0.00,0.00
1,0,5,2,15,-58.72,0.00,0.00
1,0,5,2,30,-60.61,0.00,0.00
1,0,5,2,45,-54.99,0.00,0.00
1,0,5,3,0,-49.45,0.00,0.00
1,0,5,3,15,-47.05,0.00,0.00
1,0,5,3,30,-40.30,0.00,0.00
1,0,5,3,45,-33.75,0.00,0.00
1,0,5,4,0,-41.31,0.00,0.00
1,0,5,4,15,-43.21,0.00,0.00
1,0,5,4,30,-44.22,0.00,0.00
